@"
days_since_last_visit,total_visits,avg_spending,cancellation_frequency,churn
120,3,800,0.33,1
95,5,900,0.25,1
150,2,700,0.40,1
180,1,600,0.50,1
110,4,850,0.30,1
130,3,780,0.35,1
140,2,720,0.42,1
100,6,920,0.28,1
170,1,650,0.48,1
90,4,880,0.29,1
105,4,840,0.31,1
115,3,790,0.34,1
125,2,760,0.38,1
135,2,740,0.41,1
145,1,700,0.46,1
160,1,680,0.47,1
155,2,710,0.44,1
98,5,910,0.27,1
88,4,870,0.29,1
112,3,820,0.32,1
10,15,1200,0.05,0
20,12,1000,0.08,0
30,10,1100,0.10,0
25,14,1300,0.06,0
15,18,1500,0.04,0
35,9,950,0.12,0
40,8,900,0.15,0
50,7,880,0.18,0
45,11,1150,0.09,0
60,6,870,0.16,0
22,13,1250,0.07,0
18,16,1400,0.05,0
28,12,1050,0.11,0
32,9,980,0.14,0
55,8,920,0.17,0
75,6,860,0.20,0
80,5,830,0.22,0
65,7,890,0.18,0
70,6,870,0.19,0
85,5,820,0.23,0
12,17,1450,0.05,0
27,12,1080,0.10,0
38,9,970,0.13,0
52,7,910,0.18,0
68,6,880,0.20,0
5,20,1600,0.03,0
8,19,1550,0.04,0
14,16,1480,0.05,0
24,13,1320,0.06,0
34,10,1120,0.09,0
44,9,1020,0.11,0
54,8,980,0.13,0
64,7,940,0.15,0
74,6,900,0.17,0
84,5,860,0.20,0
"@ | Set-Content -Encoding utf8 churn_dataset.csv
