@"
date,revenue
2025-01-01,12000
2025-01-02,11500
2025-01-03,13000
2025-01-04,18000
2025-01-05,20000
2025-01-06,11000
2025-01-07,10500
2025-01-08,12500
2025-01-09,11800
2025-01-10,13500
2025-01-11,19000
2025-01-12,21000
2025-01-13,10800
2025-01-14,11200
2025-01-15,12200
2025-01-16,11900
2025-01-17,14000
2025-01-18,19500
2025-01-19,21500
2025-01-20,10700
2025-01-21,10900
2025-01-22,13000
2025-01-23,12500
2025-01-24,14500
2025-01-25,20000
2025-01-26,22000
2025-01-27,11500
2025-01-28,11300
2025-01-29,12800
2025-01-30,12200
2025-01-31,15000
2025-02-01,20500
2025-02-02,22500
2025-02-03,11800
2025-02-04,11000
2025-02-05,13200
2025-02-06,12600
2025-02-07,14800
2025-02-08,21000
2025-02-09,23000
2025-02-10,11200
2025-02-11,10800
2025-02-12,13500
2025-02-13,12900
2025-02-14,15500
2025-02-15,22000
2025-02-16,24000
2025-02-17,12000
2025-02-18,11500
2025-02-19,13800
2025-02-20,13200
2025-02-21,16000
2025-02-22,22500
2025-02-23,25000
2025-02-24,11800
2025-02-25,11200
2025-02-26,14000
2025-02-27,13500
2025-02-28,17000
"@ | Set-Content revenue_daily.csv
